ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,touch_count,entry_count,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
128,2025-07-01 02:30:41,2025-07-01,2,BTCUSDm,buy,WT V11-BTC1-LOOP159 B BOS x5.0,ob,0.8,,107486.53,107193.8,,107342.23,MARKET_CLOSE,market_close,292.7299999999959,-0.49294571789705505,14.317,0,,41,0.25,-1.042,107400.29,107464.93,,,2025-07-01 02:45:00,,,,,,,,,,,,,,,,,,,,,,,,,-115.44000000000233
132,2025-07-03 04:07:59,2025-07-03,4,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.6,ob,0.65,,108819.94,108969.08,107328.51,108969.68,SL,sl,149.13999999999942,-1.0040230655759104,11.483,0,,28,0.252,-0.995,108855.19,108841.54,,,2025-07-03 04:19:28,,,,,,,,,,,,,,,,,,,,,,,,,-97.33099999999395
134,2025-07-07 09:29:42,2025-07-07,9,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.0,ob,0.03,,108904.0,109085.67,107841.0,108923.02,MARKET_CLOSE,market_close,181.66999999999825,-0.1046953266912768,45.017,0,,61,0.25,-0.495,108937.18,108925.6,,,2025-07-07 10:14:43,,,,,,,,,,,,,,,,,,,,,,,,,-0.5706000000001222
135,2025-07-07 09:37:01,2025-07-07,9,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.3,ob,0.32,,108936.7,109085.04,107841.0,108951.64,MARKET_CLOSE,market_close,148.3399999999965,-0.10071457462587757,40.583,0,,62,0.253,-1.201,108970.0,108958.3,,,2025-07-07 10:17:36,,,,,,,,,,,,,,,,,,,,,,,,,-4.780800000000745
136,2025-07-07 09:45:19,2025-07-07,9,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.5,ob,0.65,,108948.85,109071.69,107841.0,108912.88,SL,sl,122.83999999999651,0.29281992836211485,29.367,0,,19,0.251,-1.464,108982.06,108970.45,,,2025-07-07 10:14:41,,,,,,,,,,,,,,,,,,,,,,,,,23.380500000000758
140,2025-07-07 10:21:19,2025-07-07,10,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.3,ob,0.33,,108925.43,109071.27,107841.0,108794.08,SL,sl,145.84000000001106,0.9006445419636677,65.933,0,,40,0.26,-0.958,108959.07,108947.03,,,2025-07-07 11:27:15,,,,,,,,,,,,,,,,,,,,,,,,,43.34549999999712
142,2025-07-07 22:03:29,2025-07-07,22,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.1,ob,0.09,,108110.94,107922.5,108333.29,108255.25,MARKET_CLOSE,market_close,188.44000000000233,0.7658140522181909,96.517,0,,51,0.25,-0.779,108070.11,108089.34,,,2025-07-07 23:40:00,,,,,,,,,,,,,,,,,,,,,,,,,12.98789999999979
143,2025-07-07 22:11:02,2025-07-07,22,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.1,ob,0.05,,108126.0,107902.49,,108070.12,MARKET_CLOSE,market_close,223.50999999999476,-0.25001118518189774,15.6,0,,24,0.256,-0.583,108084.69,108104.4,,,2025-07-07 22:26:38,,,,,,,,,,,,,,,,,,,,,,,,,-2.794000000000233
144,2025-07-07 22:20:28,2025-07-07,22,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.3,ob,0.24,,108064.85,107890.81,108333.29,108333.39,TP,tp,174.04000000000815,1.5429786256032005,93.217,0,,28,0.254,-1.378,108023.71,108043.25,,,2025-07-07 23:53:41,,,,,,,,,,,,,,,,,,,,,,,,,64.44959999999845
147,2025-07-07 22:58:00,2025-07-07,22,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.4,ob,0.4,,108091.26,107938.03,108249.39,108250.04,TP,tp,153.22999999999593,1.0362200613457095,16.667,0,,180,0.313,-1.035,108045.63,108069.66,,,2025-07-07 23:14:40,,,,,,,,,,,,,,,,,,,,,,,,,63.51199999999954
148,2025-07-07 23:05:31,2025-07-07,23,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.3,ob,0.25,,108137.65,107941.12,,108555.96,MARKET_CLOSE,market_close,196.52999999999884,2.1284791126037486,99.483,0,,26,0.251,-0.431,108096.79,108116.05,,,2025-07-08 00:45:00,,,,,,,,,,,,,,,,,,,,,,,,,104.57750000000306
154,2025-07-08 01:04:03,2025-07-08,1,BTCUSDm,buy,WT V11-BTC1-LOOP159 B BOS x20.4,ob,0.8,,108294.8,107918.89,,108183.33,MARKET_CLOSE,market_close,375.9100000000035,-0.2965337447793358,10.95,0,,204,0.25,-0.658,108211.29,108273.2,,,2025-07-08 01:15:00,,,,,,,,,,,,,,,,,,,,,,,,,-89.17600000000094
156,2025-08-06 14:16:27,2025-08-06,14,BTCUSDm,sell,WT V11-BTC1-LOOP159 S BOS x12.2,ob,0.55,,114261.08,114845.25,,114319.62,MARKET_CLOSE,market_close,584.1699999999983,-0.10021055514660762,19.217,0,,87,0.252,-0.793,114391.71,114282.68,,,2025-08-06 14:35:40,,,,,,,,,,,,,,,,,,,,,,,,,-32.19699999999648
158,2025-08-08 14:32:15,2025-08-08,14,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.1,ob,0.05,,116699.28,116411.01,117710.53,116410.6,SL,sl,288.2700000000041,-1.001422277725705,9.433,0,,33,0.251,-0.426,116631.59,116677.68,,,2025-08-08 14:41:41,,,,,,,,,,,,,,,,,,,,,,,,,-14.433999999999651
160,2025-08-08 14:45:21,2025-08-08,14,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x3.8,ob,1.0,,116570.81,116236.28,117710.53,116235.71,SL,sl,334.52999999999884,-1.0017038830597926,22.35,0,,21,0.256,-1.125,116502.11,116549.21,,,2025-08-08 15:07:42,,,,,,,,,,,,,,,,,,,,,,,,,-335.09999999999127
162,2025-08-09 06:06:38,2025-08-09,6,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x2.3,ob,0.93,,116646.85,116333.09,117901.89,117902.08,TP,tp,313.7600000000093,4.000605558388446,256.867,0,,69,0.25,-0.623,116572.72,116625.25,,,2025-08-09 10:23:30,,,,,,,,,,,,,,,,,,,,,,,,,1167.3638999999962
163,2025-08-09 06:17:28,2025-08-09,6,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.4,ob,0.19,,116600.14,116348.85,117605.31,116574.7,MARKET_CLOSE,market_close,251.2899999999936,-0.10123761391222483,14.033,0,,148,0.251,-0.846,116525.89,116578.54,,,2025-08-09 06:31:30,,,,,,,,,,,,,,,,,,,,,,,,,-4.833600000000443
165,2025-08-09 06:37:33,2025-08-09,6,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.4,ob,0.22,,116587.39,116369.6,117313.3,116781.79,SL,sl,217.7899999999936,0.892602966160062,133.117,0,,483,0.25,-0.907,116513.27,116565.79,,,2025-08-09 08:50:40,,,,,,,,,,,,,,,,,,,,,,,,,42.76799999999872
166,2025-08-09 06:45:57,2025-08-09,6,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.4,ob,0.22,,116595.39,116384.81,117313.3,116784.23,SL,sl,210.58000000000175,0.8967613258618812,124.717,0,,137,0.252,-0.735,116547.47,116573.79,,,2025-08-09 08:50:40,,,,,,,,,,,,,,,,,,,,,,,,,41.544799999999235
167,2025-08-09 06:55:29,2025-08-09,6,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.2,ob,0.09,,116623.28,116409.28,117313.3,116815.87,SL,sl,214.0,0.899953271028021,115.15,0,,29,0.254,-0.468,116575.23,116601.68,,,2025-08-09 08:50:38,,,,,,,,,,,,,,,,,,,,,,,,,17.333099999999686
168,2025-08-09 07:20:28,2025-08-09,7,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x0.4,ob,0.39,,116850.62,116676.39,,117007.16,SL,sl,174.22999999999593,0.8984675429031269,89.017,0,,,,,,,,,2025-08-09 08:49:29,,,,,,,,,,,,,,,,,,,,,,,,True,61.05060000000318
173,2025-08-09 10:05:36,2025-08-09,10,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x2.3,ob,0.6,,117597.68,117346.67,,117597.07,SL,sl,251.00999999999476,-0.0024301820644039795,31.033,0,,,,,,,,,2025-08-09 10:36:38,,,,,,,,,,,,,,,,,,,,,,,,True,-0.3659999999916181
