ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,touch_count,entry_count,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
73,2025-01-18 13:37:25,2025-01-18,13,BTCUSDm,buy,WT V11-BTC1-TREND96 B x3.9,ob,0.6,,103798.9,103534.01,,103878.32,SL,sl,264.8899999999994,0.2998225678584053,57.9,0,,,,,,,,,2025-01-18 14:35:19,,,,,,,,,,,,,,,,,,,,,,,,True,47.65200000000768
74,2025-01-18 13:41:15,2025-01-18,13,BTCUSDm,buy,WT V11-BTC1-TREND96 B x3.9,ob,0.6,,103855.8,103590.91,,103934.39,SL,sl,264.8899999999994,0.296689191739955,53.383,0,,,,,,,,,2025-01-18 14:34:38,,,,,,,,,,,,,,,,,,,,,,,,True,47.1539999999979
78,2025-02-02 18:50:58,2025-02-02,18,BTCUSDm,buy,WT V11-BTC1-TREND96 B x3.4,ob,0.75,,97094.22,96480.28,99326.31,97032.65,MARKET_CLOSE,market_close,613.9400000000023,-0.10028667296479583,24.667,0,,39,0.252,-1.096,97010.89,97065.23,,,2025-02-02 19:15:38,,,,,,,,,,,,,,,,,,,,,,,,,-46.17750000000524
80,2025-02-02 19:25:32,2025-02-02,19,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.6,ob,0.08,,97214.26,96429.0,99326.31,97678.57,MARKET_CLOSE,market_close,785.2599999999948,0.5912818684257638,99.467,0,,29,0.253,-0.539,97130.75,97185.27,,,2025-02-02 21:05:00,,,,,,,,,,,,,,,,,,,,,,,,,37.14480000000098
82,2025-02-04 16:14:02,2025-02-04,16,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.7,ob,0.08,,99760.22,100659.13,,99195.27,MARKET_CLOSE,market_close,898.9100000000035,0.6284833854334637,95.967,0,,20,0.254,-0.483,99840.65,99789.21,,,2025-02-04 17:50:00,,,,,,,,,,,,,,,,,,,,,,,,,45.19599999999977
84,2025-02-07 07:35:19,2025-02-07,7,BTCUSDm,buy,WT V11-BTC1-TREND96 B x5.7,ob,1.0,,96972.31,96632.69,97888.76,96631.04,SL,sl,339.61999999999534,-1.00485837112069,25.383,0,,19,0.252,-0.817,96918.93,96943.51,,,2025-02-07 08:00:42,,,,,,,,,,,,,,,,,,,,,,,,,-341.2700000000041
86,2025-03-03 17:01:00,2025-03-03,17,BTCUSDm,buy,WT V11-BTC1-TREND96 B x1.6,ob,0.27,,90024.57,89411.54,95153.38,89962.33,MARKET_CLOSE,market_close,613.0300000000134,-0.10152847332105097,12.633,0,,60,0.253,-1.103,89907.83,89995.77,,,2025-03-03 17:13:38,,,,,,,,,,,,,,,,,,,,,,,,,-16.804800000001414
88,2025-03-03 17:58:27,2025-03-03,17,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.7,ob,0.08,,90111.53,89544.98,95153.38,90053.86,MARKET_CLOSE,market_close,566.5500000000029,-0.10179154531815013,6.05,0,,49,0.253,-0.853,89994.98,90082.73,,,2025-03-03 18:04:30,,,,,,,,,,,,,,,,,,,,,,,,,-4.6135999999998605
90,2025-03-08 17:05:01,2025-03-08,17,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.2,ob,0.06,,86017.02,85736.19,86631.29,85735.33,SL,sl,280.83000000000175,-1.00306235088844,6.65,0,,90,0.261,-1.006,85958.16,85988.22,,,2025-03-08 17:11:40,,,,,,,,,,,,,,,,,,,,,,,,,-16.901400000000137
92,2025-03-08 17:40:27,2025-03-08,17,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.2,ob,0.07,,86008.17,85717.74,86631.29,85924.98,MARKET_CLOSE,market_close,290.429999999993,-0.2864373515132883,99.55,0,,27,0.256,-1.083,85949.87,85979.37,,,2025-03-08 19:20:00,,,,,,,,,,,,,,,,,,,,,,,,,-5.823300000000163
94,2025-03-13 10:30:00,2025-03-13,10,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.3,ob,0.08,,83298.87,83574.75,80631.47,83326.91,MARKET_CLOSE,market_close,275.88000000000466,-0.10163839350445003,23.233,0,,20,0.251,-0.546,83335.92,83322.03,,,2025-03-13 10:53:14,,,,,,,,,,,,,,,,,,,,,,,,,-2.243200000000652
96,2025-03-14 00:35:15,2025-03-14,0,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.4,ob,0.08,,81425.22,81137.06,83948.7,81396.23,MARKET_CLOSE,market_close,288.1600000000035,-0.10060383120490314,29.25,0,,15,0.254,-0.451,81385.45,81402.06,,,2025-03-14 01:04:30,,,,,,,,,,,,,,,,,,,,,,,,,-2.319200000000419
98,2025-03-14 01:10:48,2025-03-14,1,BTCUSDm,buy,WT V11-BTC1-TREND96 B x2.4,ob,0.8,,81391.62,81099.3,83948.7,82234.98,MARKET_CLOSE,market_close,292.31999999999243,2.8850574712644446,400.2,0,,28,0.252,-0.964,81351.93,81368.46,,,2025-03-14 07:51:00,,,,,,,,,,,,,,,,,,,,,,,,,674.6880000000006
100,2025-04-01 13:50:38,2025-04-01,13,BTCUSDm,sell,WT V11-BTC1-TREND96 S BOS x160.0,ob,0.55,,83721.05,84295.02,,82876.94,MARKET_CLOSE,market_close,573.9700000000012,1.4706517762252362,32.433,0,,38,0.25,-0.89,83863.59,83750.01,,,2025-04-01 14:23:04,,,,,,,,,,,,,,,,,,,,,,,,,464.2605000000004
101,2025-04-01 14:10:42,2025-04-01,14,BTCUSDm,sell,WT V11-BTC1-TREND96 S BOS x160.0,ob,0.6,,82783.61,83242.78,,82829.63,MARKET_CLOSE,market_close,459.16999999999825,-0.10022431779080569,11.967,0,,,,,,,,,2025-04-01 14:22:40,,,,,,,,,,,,,,,,,,,,,,,,True,-27.612000000002443
104,2025-05-01 04:55:58,2025-05-01,4,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.6,ob,0.08,,94899.72,95109.43,,95109.67,SL,sl,209.70999999999185,-1.001144437556651,48.367,0,,33,0.25,-0.998,94943.24,94928.52,,,2025-05-01 05:44:20,,,,,,,,,,,,,,,,,,,,,,,,,-16.79599999999977
106,2025-05-06 01:39:01,2025-05-06,1,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.8,ob,0.08,,94543.52,94357.79,95818.98,94357.45,SL,sl,185.73000000001048,-1.0018306143326146,7.0,0,,23,0.254,-1.222,94499.27,94514.54,,,2025-05-06 01:46:01,,,,,,,,,,,,,,,,,,,,,,,,,-14.88560000000056
